SQ1,SQ2,SQ3,SAT1,SAT2,SAT3,LOY1,LOY2,LOY3
2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0
3.0,4.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0
1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0
5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0
4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0
2.0,3.0,2.0,1.0,2.0,3.0,4.0,3.0,4.0
3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0
3.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0
2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0
3.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0
4.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,5.0
4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0
3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0
3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0
4.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0
3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0
3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0
4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0
3.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0
1.0,1.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0
3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0
4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0
3.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0
3.0,3.0,3.0,1.0,2.0,2.0,4.0,3.0,4.0
4.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0
4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0
2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0
5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0
2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0
3.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0
2.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0
4.0,5.0,5.0,2.0,3.0,2.0,3.0,2.0,1.0
3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0
4.0,4.0,4.0,3.0,3.0,4.0,2.0,1.0,3.0
1.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0
4.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0
3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,5.0,5.0,4.0,3.0,2.0,4.0
2.0,4.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0
3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0
3.0,3.0,3.0,3.0,2.0,3.0,5.0,5.0,5.0
2.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0
3.0,3.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0
4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0
4.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0
4.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0
5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0
2.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,3.0
5.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0
5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0
5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0
3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0
2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0
2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0
3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0
2.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0
2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0
3.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0
5.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0
3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0
1.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0
4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0
1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0
3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0
5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0
2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0
4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,5.0,3.0,3.0,3.0,1.0,3.0,3.0
3.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0
3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0
4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0
3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0
4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0
3.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0
3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0
4.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0
3.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0
2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0
3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0
4.0,3.0,3.0,2.0,3.0,2.0,4.0,4.0,4.0
1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0
3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0
1.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0
1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0
3.0,1.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0
3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0
5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0
3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0
2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0
1.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,4.0
4.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0
5.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0
3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
5.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0
2.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0
3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0
3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0
4.0,4.0,4.0,2.0,1.0,2.0,3.0,3.0,4.0
5.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0
3.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0
1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0
3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0
3.0,2.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0
4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0
4.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0
2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0
4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0
5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0
4.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0
5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0
2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0
2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0
4.0,5.0,5.0,4.0,4.0,4.0,3.0,2.0,2.0
4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0
5.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0
3.0,2.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0
2.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0
1.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0
2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
4.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0
2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0
2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0
5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0
4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
4.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0
2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0
4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0
4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0
5.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0
3.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0
3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0
2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0
3.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,1.0
3.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,3.0
2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0
4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0
2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
2.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0
1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0
3.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0
3.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0
3.0,5.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0
2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0
4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0
3.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0
2.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0,4.0
4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0
3.0,4.0,2.0,4.0,5.0,5.0,4.0,4.0,4.0
3.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0
3.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0
4.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0
2.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0
2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0
4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0
3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0
3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0
4.0,5.0,5.0,4.0,3.0,2.0,3.0,4.0,3.0
4.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,3.0
4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0
5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0
2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0
4.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0
2.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0
1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0
3.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0
3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,5.0
3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0
4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0
4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0
4.0,3.0,2.0,5.0,3.0,4.0,3.0,1.0,3.0
1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0
2.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0
3.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0
2.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,1.0
3.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0
3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
3.0,3.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0
3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0
2.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0
3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0
2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0
5.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0
3.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0
2.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0
3.0,3.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0
4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0
2.0,2.0,2.0,3.0,4.0,4.0,1.0,2.0,1.0
3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0
3.0,3.0,4.0,2.0,3.0,2.0,4.0,4.0,3.0
3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0
1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0
2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0
2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0
2.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0
3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0
3.0,3.0,2.0,3.0,4.0,3.0,1.0,1.0,1.0
3.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0
3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0
2.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0
2.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0
2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0
3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0
2.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0
4.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0
4.0,5.0,5.0,2.0,3.0,4.0,3.0,3.0,3.0
5.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0
4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0
2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0
3.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0
4.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0
4.0,4.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0
3.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0
3.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0
4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0
3.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0
2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0
2.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0
3.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0
5.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,3.0
3.0,2.0,2.0,3.0,4.0,4.0,4.0,5.0,4.0
3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0
3.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0
1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0
4.0,4.0,4.0,3.0,3.0,3.0,1.0,2.0,3.0
5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0
3.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0
1.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0
